slug,image_count,hero,small_count,needs_upscale,path
medina-crossbody-tooled-walnut,11,Hero-medina-crossbody-tooled-walnut.png,11,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/medina-crossbody-tooled-walnut
medina-duffle,9,Hero-medina-duffle.png,8,False,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/medina-duffle
medina-market-tote-cognac,10,Hero-medina-market-tote-cognac.png,9,False,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/medina-market-tote-cognac
medina-rucksack-drawstring,10,Hero-medina-rucksack-drawstring.png,0,False,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/medina-rucksack-drawstring
medina-rucksack-drawstring-chocolate,19,Hero-medina-rucksack-drawstring-chocolate.png,17,False,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/medina-rucksack-drawstring-chocolate
medina-rucksack-drawstring-light-brown,13,Hero-medina-rucksack-drawstring-light-brown.png,11,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/medina-rucksack-drawstring-light-brown
medina-saddlebag-tooled-cognac,9,Hero-medina-saddlebag-tooled-cognac.png,0,False,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/medina-saddlebag-tooled-cognac
medina-soft-crossbody-walnut,13,Hero-medina-soft-crossbody-walnut.png,13,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/medina-soft-crossbody-walnut
medina-zigzag-tote-chocolate,10,Hero-medina-zigzag-tote-chocolate.png,10,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/medina-zigzag-tote-chocolate
medina-zip-sling-cognac,8,Hero-medina-zip-sling-cognac.png,8,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/medina-zip-sling-cognac
oasis-weekender-oxblood,10,Hero-oasis-weekender-oxblood.png,9,False,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/oasis-weekender-oxblood
vintage-buckle-backpack,18,Hero-vintage-buckle-backpack.png,17,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/vintage-buckle-backpack
vintage-buckle-backpack-chocolate,10,Hero-vintage-buckle-backpack-chocolate.png,9,False,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/vintage-buckle-backpack-chocolate
vintage-satchel-light-brown,10,Hero-vintage-satchel-light-brown.png,10,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/vintage-satchel-light-brown
vintage-satchel-moutarde,11,Hero-vintage-satchel-moutarde.png,10,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/vintage-satchel-moutarde
woven-leather-backpack,19,Hero-woven-leather-backpack.png,18,False,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/woven-leather-backpack
