"verdict","slug","title","status","featured","driveFolder","heroFiles","expectedFirst","supabaseFirst","airtableFirst","notes"
"PASS","expedition-rolltop-noir","Expedition Rolltop · Noir","available","true","expedition-rolltop-noir","Hero-expedition-rolltop-noir.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-white.webp",""
"WARN","explorer-rolltop-cognac","Explorer Rolltop · Cognac","available","true","explorer-rolltop-cognac","Hero-1-explorer-rolltop-cognac-scale-hd.png; Hero-explorer-rolltop-cognac-hd.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-white.webp","multiple Hero-* files: Hero-1-explorer-rolltop-cognac-scale-hd.png; Hero-explorer-rolltop-cognac-hd.png"
"WARN","explorer-rolltop-noir","Explorer Rolltop · Noir","available","true","","","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-noir-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-noir-macro-04.webp","","no matching Drive Hero-* source found; no Airtable Products record found"
"PASS","heritage-rucksack","Heritage Rucksack","available","true","heritage-rucksack","Hero-heritage-rucksack hero.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/heritage-rucksack-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/heritage-rucksack-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/heritage-rucksack-pdp-white.webp",""
"WARN","marrakech-tote-bordeaux","Marrakech Tote · Bordeaux","available","false","","","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/marrakech-tote-bordeaux-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/marrakech-tote-bordeaux-pdp-white.webp","","no matching Drive Hero-* source found; no Airtable Products record found"
"WARN","marrakech-tote-cognac","Marrakech Tote · Cognac","available","true","marrakech-tote-cognac","Hero- 01- marrakech-tote-cognac.png; Hero- marrakech-tote-cognac-pdp.png; Hero-marrakech-tote-cognac -1.png; Hero-marrakech-tote-cognac.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/marrakech-tote-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/marrakech-tote-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/marrakech-tote-cognac-pdp-white.webp","multiple Hero-* files: Hero- 01- marrakech-tote-cognac.png; Hero- marrakech-tote-cognac-pdp.png; Hero-marrakech-tote-cognac -1.png; Hero-marrakech-tote-cognac.png"
"WARN","marrakech-tote-noir","Marrakech Tote · Noir","available","false","","","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/marrakech-tote-noir-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/marrakech-tote-noir-pdp-white.webp","","no matching Drive Hero-* source found; no Airtable Products record found"
"PASS","medina-cargo-rucksack-cognac","Medina Cargo Rucksack · Cognac","available","true","medina-cargo-rucksack-cognac","Hero-medina-cargo-rucksack-cognac.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-cargo-rucksack-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-cargo-rucksack-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-cargo-rucksack-cognac-pdp-white.webp",""
"PASS","medina-crossbody-clasp-teal","Medina Crossbody · Clasp Teal","available","true","medina-crossbody-clasp-teal","Hero-medina-crossbody-clasp-teal.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-clasp-teal-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-clasp-teal-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-clasp-teal-pdp-white.webp",""
"PASS","medina-crossbody-cognac","Medina Crossbody · Cognac","available","true","medina-crossbody-cognac","Hero-medina-crossbody-cognac-pdp-white.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-cognac-pdp-white.webp",""
"WARN","medina-crossbody-envelope","Medina Envelope Crossbody","available","true","medina-crossbody-envelope","Hero-medina-crossbody-envelope -1.png; Hero-medina-crossbody-envelope.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-envelope-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-envelope-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-envelope-pdp-white.webp","multiple Hero-* files: Hero-medina-crossbody-envelope -1.png; Hero-medina-crossbody-envelope.png"
"WARN","medina-crossbody-tassel","Medina Crossbody · Tassel","available","false","","","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-tassel-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-tassel-pdp-white.webp","","no matching Drive Hero-* source found; no Airtable Products record found"
"WARN","medina-crossbody-tooled-walnut","Medina Crossbody · Tooled Walnut","available","true","","","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-tooled-walnut-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-tooled-walnut-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-tooled-walnut-pdp-white.webp","no matching Drive Hero-* source found"
"PASS","medina-duffle","Medina Duffle","reserved","false","medina-duffle","Hero-medina-duffle-macro.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-duffle-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-duffle-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-duffle-pdp-white.webp",""
"PASS","medina-market-tote-cognac","Medina Market Tote · Cognac","available","true","medina-market-tote-cognac","Hero-medina-market-tote-cognac.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-market-tote-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-market-tote-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-market-tote-cognac-pdp-white.webp",""
"PASS","medina-rucksack-drawstring","Medina Drawstring Rucksack","available","true","medina-rucksack-drawstring","Hero- medina-rucksack-drawstring.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-rucksack-drawstring-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-rucksack-drawstring-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-rucksack-drawstring-pdp-white.webp",""
"WARN","medina-rucksack-flap-chocolate","Medina Rucksack · Flap Chocolate","available","true","","","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-rucksack-flap-chocolate-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-rucksack-flap-chocolate-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-rucksack-flap-chocolate-pdp-white.webp","no matching Drive Hero-* source found"
"PASS","medina-saddlebag-tooled-cognac","Medina Saddlebag · Tooled Cognac","available","true","medina-saddlebag-tooled-cognac","Hero-medina-saddlebag-tooled-cognac.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-saddlebag-tooled-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-saddlebag-tooled-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-saddlebag-tooled-cognac-pdp-white.webp",""
"PASS","medina-zigzag-tote-chocolate","Medina Zigzag Tote · Chocolate","available","true","medina-zigzag-tote-chocolate","Hero-medina-zigzag-tote-chocolate.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-zigzag-tote-chocolate-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-zigzag-tote-chocolate-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-zigzag-tote-chocolate-pdp-white.webp",""
"PASS","oasis-weekender-oxblood","Oasis Weekender · Oxblood","available","true","oasis-weekender-oxblood","Hero- Oasis Weekender · Oxblood.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/oasis-weekender-oxblood-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/oasis-weekender-oxblood-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/oasis-weekender-oxblood-pdp-white.webp",""
"WARN","rolltop-daypack","Roll-Top Daypack","reserved","false","","","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/rolltop-daypack-pdp-white.webp","","","no matching Drive Hero-* source found; Supabase images array is empty; no Airtable Products record found"
"WARN","test-e2e","Test — E2E Checkout","available","false","","","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/test-e2e-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-01/heritage-rucksack-01-v2.webp","","no matching Drive Hero-* source found; no Airtable Products record found"
"PASS","vintage-buckle-backpack","Vintage Buckle Backpack","available","true","vintage-buckle-backpack","Hero-vintage-buckle-backpack.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/vintage-buckle-backpack-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/vintage-buckle-backpack-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/vintage-buckle-backpack-pdp-white.webp",""
"PASS","vintage-satchel-light-brown","Vintage Satchel · Light Brown","available","true","vintage-satchel-light-brown","Hero- vintage-satchel-light-brown.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/vintage-satchel-light-brown-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/vintage-satchel-light-brown-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/vintage-satchel-light-brown-pdp-white.webp",""
"PASS","woven-leather-backpack","Woven Leather Backpack","available","true","woven-leather-backpack","Hero- woven-leather-backpack-pdp.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/woven-leather-backpack-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/woven-leather-backpack-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/woven-leather-backpack-pdp-white.webp",""
